Schema Version,Order of entry,Record Type,Session Label,Session ID,Metadata Field,Metadata Value,Event,Date,Location,Chair,Vice-Chair,Secretary,Treasurer,Arranger(s),Chaplain,Memorial Lesson Leader,Book,Edition Code,Leader(s),Canonical Leader(s),Page,Song,Tag,Notes,Marker,Timestamp ISO,Time entered
4,1,session,,0kuqgnwh,,,James River Convention,2025-11-01,"St. Giles Presbyterian Church, Richmond, Virginia",McEver Dugan,Adrienne Robertson,Jordan Albright,Lois Badey,Pat Temple and Matt Robertson,Sandra Polaski,Sandra Polaski,,,,,,,,,,2026-07-20T16:32:59.051Z,4:32 PM
4,2,song,,0kuqgnwh,,,James River Convention,2025-11-01,"St. Giles Presbyterian Church, Richmond, Virginia",McEver Dugan,Adrienne Robertson,Jordan Albright,Lois Badey,Pat Temple and Matt Robertson,Sandra Polaski,Sandra Polaski,SHM2025,SHM2025,Matt Ference,,102,Fulfillment,,Called the class to order; opening prayer offered by Sandra Polaski,,2026-07-20T16:32:59.074Z,4:32 PM
4,3,song,,0kuqgnwh,,,James River Convention,2025-11-01,"St. Giles Presbyterian Church, Richmond, Virginia",McEver Dugan,Adrienne Robertson,Jordan Albright,Lois Badey,Pat Temple and Matt Robertson,Sandra Polaski,Sandra Polaski,SHM2025,SHM2025,Adrienne Robertson,,474,Mount Desert,,,,2026-07-20T16:32:59.096Z,4:32 PM
4,4,song,,0kuqgnwh,,,James River Convention,2025-11-01,"St. Giles Presbyterian Church, Richmond, Virginia",McEver Dugan,Adrienne Robertson,Jordan Albright,Lois Badey,Pat Temple and Matt Robertson,Sandra Polaski,Sandra Polaski,SHM2025,SHM2025,Kevin Slaughter,,388,The Happy Sailor,,,,2026-07-20T16:32:59.127Z,4:32 PM
4,5,song,,0kuqgnwh,,,James River Convention,2025-11-01,"St. Giles Presbyterian Church, Richmond, Virginia",McEver Dugan,Adrienne Robertson,Jordan Albright,Lois Badey,Pat Temple and Matt Robertson,Sandra Polaski,Sandra Polaski,SHM2025,SHM2025,McEver Dugan,,268,David's Lamentation,,,,2026-07-20T16:32:59.149Z,4:32 PM
4,6,song,,0kuqgnwh,,,James River Convention,2025-11-01,"St. Giles Presbyterian Church, Richmond, Virginia",McEver Dugan,Adrienne Robertson,Jordan Albright,Lois Badey,Pat Temple and Matt Robertson,Sandra Polaski,Sandra Polaski,SHM2025,SHM2025,Lois Badey,,28b,Wells,,,,2026-07-20T16:32:59.169Z,4:32 PM
4,7,song,,0kuqgnwh,,,James River Convention,2025-11-01,"St. Giles Presbyterian Church, Richmond, Virginia",McEver Dugan,Adrienne Robertson,Jordan Albright,Lois Badey,Pat Temple and Matt Robertson,Sandra Polaski,Sandra Polaski,SHM2025,SHM2025,Pat Temple,,34b,St. Thomas,,,,2026-07-20T16:32:59.190Z,4:32 PM
4,8,song,,0kuqgnwh,,,James River Convention,2025-11-01,"St. Giles Presbyterian Church, Richmond, Virginia",McEver Dugan,Adrienne Robertson,Jordan Albright,Lois Badey,Pat Temple and Matt Robertson,Sandra Polaski,Sandra Polaski,SHM2025,SHM2025,Sandra Polaski,,344,Rainbow,,,,2026-07-20T16:32:59.214Z,4:32 PM
4,9,song,,0kuqgnwh,,,James River Convention,2025-11-01,"St. Giles Presbyterian Church, Richmond, Virginia",McEver Dugan,Adrienne Robertson,Jordan Albright,Lois Badey,Pat Temple and Matt Robertson,Sandra Polaski,Sandra Polaski,SHM2025,SHM2025,Nora Miller,,295,Iowa,,,,2026-07-20T16:32:59.252Z,4:32 PM
4,10,song,,0kuqgnwh,,,James River Convention,2025-11-01,"St. Giles Presbyterian Church, Richmond, Virginia",McEver Dugan,Adrienne Robertson,Jordan Albright,Lois Badey,Pat Temple and Matt Robertson,Sandra Polaski,Sandra Polaski,SHM2025,SHM2025,Jim Glaser,,39b,Sharpsburg,,,,2026-07-20T16:32:59.290Z,4:32 PM
